first_name,last_name,url,personality_traits,Houses,last_name_1,gender,wand,patronus,hair_color,eye_color,loyalty,skills,description,full_description
Rowena,Ravenclaw,,,Ravenclaw,Ravenclaw,Female,Unknown,Unknown,Black,Dark,,"Extremely skilled witch, known for her intelligence and wisdom","A founder of Hogwarts School of Witchcraft and Wizardry, Rowena was known for her brilliant mind and love of learning. Her house encouraged these qualities in its students, and as a result, boasted some of the cleverest and highest achieving witches and wizards at the school. However, Rowena's history was mired in tragedy. Rowena's daughter Helena was murdered after stealing her mother's enchanted diadem and running away. Both Helena and her murderer, The Bloody Baron, haunted Hogwarts, representing Ravenclaw and Slytherin house respectively.
"," A founder of Hogwarts School of Witchcraft and Wizardry, Rowena was known for her brilliant mind and love of learning. Her house encouraged these qualities in its students, and as a result, boasted some of the cleverest and highest achieving witches and wizards at the school. However, Rowena's history was mired in tragedy. Rowena's daughter Helena was murdered after stealing her mother's enchanted diadem and running away. Both Helena and her murderer, The Bloody Baron, haunted Hogwarts, representing Ravenclaw and Slytherin house respectively.
"
Igor,Slytherin,,,Slytherin,Karkaroff,Male,Unknown,None,Silver| formerly black,,,Skilled in the Dark Arts,"Igor Karkaroff was the headmaster of Durmstrang Institute, a wizarding school based in Bulgaria. He travelled to Hogwarts for the Triwizard Tournament where he did everything he could to ensure Durmstrang's champion, Viktor Krum's win. Karkaroff's dark past however, would come back to haunt him.
"," Igor Karkaroff was the headmaster of Durmstrang Institute, a wizarding school based in Bulgaria. He travelled to Hogwarts for the Triwizard Tournament where he did everything he could to ensure Durmstrang's champion, Viktor Krum's win. Karkaroff's dark past however, would come back to haunt him.
"
Salazar,Slytherin,,,Slytherin,Slytherin,Male,"snakewood, Basilisk horn",Unknown,Grey,Dark,,Accomplished Legilimens and one of the first recorded Parselmouths,"Salazar Slytherin was one of the four founders of Hogwarts School of Witchcraft and Wizardry and the least open to the idea of non-magical families sending their children to the school. Slytherin was a talented wizard, and skilled in Parseltongue and Legilimency, who favoured students in particular who showed signs of cunning and ambition. As he became more obsessed with the idea of magical purity, he grew away from his fellow founders and was eventually cast out of the school - but not before he was able to hide a dark secret within the walls of the castle. Salazar's dark legacy (and several of his possessions) would pass down his family, such as his locket and ring.
"," Salazar Slytherin was one of the four founders of Hogwarts School of Witchcraft and Wizardry and the least open to the idea of non-magical families sending their children to the school. Slytherin was a talented wizard, and skilled in Parseltongue and Legilimency, who favoured students in particular who showed signs of cunning and ambition. As he became more obsessed with the idea of magical purity, he grew away from his fellow founders and was eventually cast out of the school - but not before he was able to hide a dark secret within the walls of the castle. Salazar's dark legacy (and several of his possessions) would pass down his family, such as his locket and ring.
"
Godric,Gryffindor,,,Gryffindor,Gryffindor,Male,Unknown,Unknown,Red,Green,,The most accomplished duellist of his time,"One of the four founders of Hogwarts School of Witchcraft and Wizardry, Godric Gryffindor's house favoured students who were bold and brave. The wizard's legacy at Hogwarts was apparent in many ways, from his support of Muggle-born students attending the school to his portrait on the seventh floor, to the sword that appeared for any true Gryffindor in need of it. It was even rumoured to be Godric's own hat that was enchanted and used to sort incoming students. His home, the village that would come to be named Godric's Hollow, would be the home of several famous wizarding world characters, such as Bathilda Bagshot, the Dumbledores and The Potters.
"," One of the four founders of Hogwarts School of Witchcraft and Wizardry, Godric Gryffindor's house favoured students who were bold and brave. The wizard's legacy at Hogwarts was apparent in many ways, from his support of Muggle-born students attending the school to his portrait on the seventh floor, to the sword that appeared for any true Gryffindor in need of it. It was even rumoured to be Godric's own hat that was enchanted and used to sort incoming students. His home, the village that would come to be named Godric's Hollow, would be the home of several famous wizarding world characters, such as Bathilda Bagshot, the Dumbledores and The Potters.
"
Helga,Hufflepuff,,,Hufflepuff,Hufflepuff,Female,Unknown,Unknown,Brown,Blue,,Food-related Charms. Many traditional Hogwarts recipes originated with her,"One of the four founders of Hogwarts School of Witchcraft and Wizardry, Helga Hufflepuff favoured students who were 'just and loyal.' Fairness was at the heart of Hufflepuff house, and as a result, had arguably the most inclusive and open approach to accepting students from all backgrounds and of all talents. As a witch, Helga had been talented at charms and enjoyed eating and preparing feasts.  Indeed, many of her recipes were still used in the Hogwarts kitchens centuries after her death.
"," One of the four founders of Hogwarts School of Witchcraft and Wizardry, Helga Hufflepuff favoured students who were 'just and loyal.' Fairness was at the heart of Hufflepuff house, and as a result, had arguably the most inclusive and open approach to accepting students from all backgrounds and of all talents. As a witch, Helga had been talented at charms and enjoyed eating and preparing feasts.  Indeed, many of her recipes were still used in the Hogwarts kitchens centuries after her death.
"
Tulip,Karasu,https://harrypotter.fandom.com/wiki/Tulip_Karasu,"When Jacob's sibling first met her in the Transfiguration classroom, it surprised Jacob's sibling that she was eccentric. As a Ravenclaw, she was smart and witty and had a knack for getting to the bottom of things. She showed interest in clever and quick-thinking people, such as Merula Snyde. Tulip was able to recognise and appreciate people for their intelligence alone, despite potentially having other problematic qualities, as also seen in the case of Merula.
Tulip was rebellious, believing that rules were made to be broken. She admitted enjoying chaos as an aesthetic. Those streaks led Tulip into performing some daring acts, such as sneaking a book of pranks out of the Restricted Section, resulting in nearly blowing up the Owlery, an incident she viewed as one of her finer moments.
During her early years at Hogwarts, Tulip was left incredibly guilt-ridden over the fact that she selfishly betrayed her then-best and only friend, Merula, in their shared pursuit of the Cursed Vaults. This soon developed intense feelings of inadequacy and self-loathing within her, with Tulip deeming herself unworthy of ever forming friendships with anyone (to the point that her boggart was Merula telling her that she will never have any friends), due to Tulip fearing that she will inevitably betray all those she befriended. As a result, she chose to operate independently during her early years, keeping close to her pet toad Dennis and avoiding social encounters with Hogwarts students.
This all changed one day, however, when Jacob's sibling sought her out for help in their quest for the Cursed Vaults and began to befriend her, with the former reassuring Tulip that she indeed can change and have friends in her life. After spending some time with the said student, Tulip gradually began to open up to them and ultimately came to their point of view regarding her adequacy for friendship when they told her that they considered her their friend. Their encouragement inspired and gave Tulip a more optimistic outlook since she enthusiastically agreed to help them out in their search for the vaults after accepting their offer of friendship.
This renewed hope in herself induced Tulip to turn away from her former independent and self-relying methods, accepting that she can have friends and indeed, she made numerous once accepted Jacob's sibling offer of friendship, with Tulip ultimately finding herself a best friend in fellow prankster and rule-breaker Nymphadora Tonks. Compared to her fellow pranksters though, Tulip tended to be cleaner and more methodological.
She was known to be a decent espionage, a skill she picked up from her parents who worked in the Ministry. She used her skills to scout Jacob's sibling as a replacement singer to pair with Dennis to try out for Frog Choir, as Tulip was tone-deaf.
Tulip enjoyed swimming in the lake, which was considered very cold by most. She could also walk while carrying Tonks on her shoulders. This indicated she was physically tougher than she appeared.
",Ravenclaw,,,,,,,,,,"When Jacob's sibling first met her in the Transfiguration classroom, it surprised Jacob's sibling that she was eccentric. As a Ravenclaw, she was smart and witty and had a knack for getting to the bottom of things. She showed interest in clever and quick-thinking people, such as Merula Snyde. Tulip was able to recognise and appreciate people for their intelligence alone, despite potentially having other problematic qualities, as also seen in the case of Merula.
Tulip was rebellious, believing that rules were made to be broken. She admitted enjoying chaos as an aesthetic. Those streaks led Tulip into performing some daring acts, such as sneaking a book of pranks out of the Restricted Section, resulting in nearly blowing up the Owlery, an incident she viewed as one of her finer moments.
During her early years at Hogwarts, Tulip was left incredibly guilt-ridden over the fact that she selfishly betrayed her then-best and only friend, Merula, in their shared pursuit of the Cursed Vaults. This soon developed intense feelings of inadequacy and self-loathing within her, with Tulip deeming herself unworthy of ever forming friendships with anyone (to the point that her boggart was Merula telling her that she will never have any friends), due to Tulip fearing that she will inevitably betray all those she befriended. As a result, she chose to operate independently during her early years, keeping close to her pet toad Dennis and avoiding social encounters with Hogwarts students.
This all changed one day, however, when Jacob's sibling sought her out for help in their quest for the Cursed Vaults and began to befriend her, with the former reassuring Tulip that she indeed can change and have friends in her life. After spending some time with the said student, Tulip gradually began to open up to them and ultimately came to their point of view regarding her adequacy for friendship when they told her that they considered her their friend. Their encouragement inspired and gave Tulip a more optimistic outlook since she enthusiastically agreed to help them out in their search for the vaults after accepting their offer of friendship.
This renewed hope in herself induced Tulip to turn away from her former independent and self-relying methods, accepting that she can have friends and indeed, she made numerous once accepted Jacob's sibling offer of friendship, with Tulip ultimately finding herself a best friend in fellow prankster and rule-breaker Nymphadora Tonks. Compared to her fellow pranksters though, Tulip tended to be cleaner and more methodological.
She was known to be a decent espionage, a skill she picked up from her parents who worked in the Ministry. She used her skills to scout Jacob's sibling as a replacement singer to pair with Dennis to try out for Frog Choir, as Tulip was tone-deaf.
Tulip enjoyed swimming in the lake, which was considered very cold by most. She could also walk while carrying Tonks on her shoulders. This indicated she was physically tougher than she appeared.
 "
Andrew,Larson,https://harrypotter.fandom.com/wiki/Andrew_Larson,"Andrew believed that once a coward, always a coward, referring to Duncan Hobhouse as such.
",Ravenclaw,,,,,,,,,,"Andrew believed that once a coward, always a coward, referring to Duncan Hobhouse as such.
 "
Mahendra,Pehlwaan,https://harrypotter.fandom.com/wiki/Mahendra_Pehlwaan,"Mahendra had a penchant for sticking to the rules.
",Ravenclaw,,,,,,,,,,"Mahendra had a penchant for sticking to the rules.
 "
Sirona,Ryan,https://harrypotter.fandom.com/wiki/Sirona_Ryan,"Sirona was a brave, kind woman who was willing to stand up for a complete stranger against the likes of Victor Rookwood. She was shown to be a fan of Quidditch, having played the sport in her youth and enjoying cheering for her old House's team, before Headmaster Black cancelled the sport that year.
",Ravenclaw,,,,,,,,,,"Sirona was a brave, kind woman who was willing to stand up for a complete stranger against the likes of Victor Rookwood. She was shown to be a fan of Quidditch, having played the sport in her youth and enjoying cheering for her old House's team, before Headmaster Black cancelled the sport that year.
 "
Samantha,Dale,https://harrypotter.fandom.com/wiki/Samantha_Dale,"Samantha cared about plants and was known to speak to and about them like they were people. She was particularly fond of the dittany plant for their healing power and enjoyed potion-making.
",Ravenclaw,,,,,,,,,,"Samantha cared about plants and was known to speak to and about them like they were people. She was particularly fond of the dittany plant for their healing power and enjoyed potion-making.
 "
